                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,unique,pop_2023,pop_2020,pop_estimate_2021,pop_over_500k_2021,home_2023,img_rate,imgrate10,immigration_2020,poverty_2020,pov_over_10,violent_crime_rate_2019,vcrime10,ESTIMATESBASE2020,pop_estimate_2020,pop_estimate_2021,NPOPCHG2020,NPOPCHG2021,births_2020,births_2021,deaths_2020,deaths_2021,NATURALCHG2020,NATURALCHG2021,int_mig_2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,shrinking,RESIDUAL2020,RESIDUAL2021,total_pop,total_male_pop,total_female_pop,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
139,"Greensboro-High Point, NC","789,842","776,566",778848,1,,0.09,0,"69,882",15.5,1,4098,1,776566,776761,778848,195,2087,2003,8157,2414,8962,-411,-805,30,586,586,2180,616,2766,0,-10,126,"776,548","373,326",403222,243466,254964,101450,118254,3393,3272,15711,16289,426,445,8880,9998,251080,263366,107347,125053,6219,6680,17707,18512,776,869,333941,365566,211608,225138,97637,114182,1572,1610,15296,15867,189,235,7639,8534,218167,232286,102743,120018,3864,4385,17085,17844,471,567,39385,37656,31858,29826,3813,4072,1821,1662,415,422,237,210,1241,1464,32913,31080,4604,5035,2355,2295,622,668,305,302
140,"Greenville-Anderson, SC","975,480","928,195",940774,1,,0.06,0,"59,268",13.1,1,,0,928195,930165,940774,1970,10609,2519,10007,2749,10668,-230,-661,58,961,2143,10277,2201,11238,0,-1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Greenville, NC MSA","175,119","170,243",172169,0,,0.05,0,"8,712",20.8,1,657,0,170243,170570,172169,327,1599,490,1931,414,1780,76,151,0,33,246,1397,246,1430,0,5,18,"170,242","80,364",89878,48516,51736,27567,33738,510,443,1707,1805,144,135,1920,2021,50173,53430,28863,35110,967,994,2244,2374,226,225,73859,83524,43480,46790,26825,32951,252,270,1607,1684,63,54,1632,1775,44891,48274,27928,34152,609,732,2075,2202,130,127,6505,6354,5036,4946,742,787,258,173,100,121,81,81,288,246,5282,5156,935,958,358,262,169,172,96,98
142,"Gulfport-Biloxi, MS","421,916","416,259",418082,0,,0.03,0,"14,463",16.6,1,924,0,416259,416312,418082,53,1770,1117,4755,1364,5205,-247,-450,13,123,292,2034,305,2157,0,-5,63,"416,249","204,613",211636,149776,150676,43970,49001,1073,1065,4388,5357,228,250,5178,5287,154361,155306,46686,51860,2589,2592,6013,7083,523,525,190751,199270,138147,140496,42753,47773,819,845,4295,5225,138,180,4599,4751,142260,144693,45164,50333,2082,2141,5759,6801,373,406,13862,12366,11629,10180,1217,1228,254,220,93,132,90,70,579,536,12101,10613,1522,1527,507,451,254,282,150,119
143,"Hagerstown-Martinsburg, MD-WV","305,902","293,844",298227,0,,0.05,0,"14,413",11.2,1,,0,293844,294277,298227,433,3950,797,3105,929,3490,-132,-385,3,87,563,4265,566,4352,0,-1,-17,"293,845","148,474",145371,124117,125255,16957,12432,508,451,2082,2454,106,80,4704,4699,128588,129725,20177,15713,1416,1385,2953,3276,258,237,139385,137084,116692,118610,16069,11537,269,251,1983,2367,70,57,4302,4262,120792,122670,19018,14536,1040,1035,2806,3138,206,186,9089,8287,7425,6645,888,895,239,200,99,87,36,23,402,437,7796,7055,1159,1177,376,350,147,138,52,51
144,"Hammond, LA MSA","138,064","133,157",135217,0,,0.02,0,"2,623",20.2,1,,0,133157,133549,135217,392,1668,396,1863,369,1617,27,246,0,27,361,1386,361,1413,0,4,9,133162,65171,67991,44117,44630,19138,21496,308,295,472,508,34,41,1102,1021,45075,45524,19722,22048,738,697,731,728,107,87,61186,64874,40686,41951,18877,21312,248,233,440,471,18,25,917,882,41498,42728,19364,21796,562,554,658,665,76,65,3985,3117,3431,2679,261,184,60,62,32,37,16,16,185,139,3577,2796,358,252,176,143,73,63,31,22
145,"Hanford-Corcoran, CA","152,682","152,486",153443,0,,0.18,1,"28,151",16,1,757,0,152486,152627,153443,141,816,542,2176,262,1083,280,1093,-3,-71,-147,-245,-150,-316,1,11,39,"152,486","84,178",68308,67439,56109,7581,3553,2573,2318,3210,3333,270,265,3105,2730,70218,58551,8645,4513,3560,3191,4522,4450,533,513,37222,28715,25273,20561,6635,2749,698,678,2666,2916,158,149,1792,1662,26863,22048,7327,3369,1083,1043,3553,3727,294,300,46956,39593,42166,35548,946,804,1875,1640,544,417,112,116,1313,1068,43355,36503,1318,1144,2477,2148,969,723,239,213
146,"Harrisburg-Carlisle, PA","606,055","591,712",596305,1,,0.07,0,"42,859",9.56,0,,0,591712,592361,596305,649,3944,1572,6109,1572,6540,0,-431,5,390,662,3940,667,4330,0,-18,45,"591,711","292,332",299379,233811,240520,33916,33998,1104,1076,15036,14945,243,246,8222,8594,241431,248472,39606,40046,2634,2697,16922,16869,495,520,270094,277496,217814,225186,30111,29921,447,473,14739,14672,103,100,6880,7144,224208,231802,34741,34813,1658,1764,16474,16447,302,312,22238,21883,15997,15334,3805,4077,657,603,297,273,140,146,1342,1450,17223,16670,4865,5233,976,933,448,422,193,208
147,"Harrisonburg, VA MSA","137,650","135,571",135824,0,,0.10,1,"13,821",14.4,1,172,0,135571,135433,135824,-138,391,336,1414,297,1271,39,143,4,253,-181,-6,-177,247,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"Hartford-East Hartford-Middletown, CT","1,151,543","1,150,473",1211906,1,,0.14,1,"163,719",9.99,0,2021,1,1213531,1211505,1211906,-2026,401,2779,10895,3290,12980,-511,-2085,113,1457,-1610,832,-1497,2289,0,-18,197,"1,150,500","565,067",585433,441422,457026,72619,77213,3072,2988,32770,32483,701,588,14483,15135,454392,470523,81567,86931,6509,6712,36944,36625,1380,1208,477705,494991,372561,386219,61407,64836,1103,1070,32002,31707,182,209,10450,10950,381915,395928,67425,71368,3423,3576,35489,35272,636,676,87362,90442,68861,70807,11212,12377,1969,1918,768,776,519,379,4033,4185,72477,74595,14142,15563,3086,3136,1455,1353,744,532
149,"Hattiesburg, MS MSA","155,740","153,891",173078,0,,0.02,0,"3,799",22.1,1,,0,172231,172287,173078,56,791,495,2079,448,1886,47,193,1,46,4,537,5,583,0,4,15,"153,889","73,392",80497,50726,53124,20388,24846,318,263,852,995,69,54,1039,1215,51640,54179,21031,25611,646,649,1054,1258,121,102,70356,77787,48311,51014,20074,24500,190,182,831,967,41,40,909,1084,49119,51956,20637,25193,464,507,1013,1205,81,83,3036,2710,2415,2110,314,346,128,81,21,28,28,14,130,131,2521,2223,394,418,182,142,41,53,40,19
150,"Helena, MT MSA","96,091",89832,,,,,0,,9.2,0,,0,,,,,,,,,,,,,,,,,,0,,,"89,827","45,040",44787,42339,42109,271,175,961,931,255,404,43,37,1171,1131,43465,43205,478,357,1756,1702,474,633,107,86,43513,43205,41139,40837,238,149,811,779,250,389,35,27,1040,1024,42145,41831,417,314,1503,1468,453,604,87,68,1527,1582,1200,1272,33,26,150,152,5,15,8,10,131,107,1320,1374,61,43,253,234,21,29,20,18
151,"Hickory-Lenoir-Morganton, NC","370,030","365,276",366441,0,,0.05,0,"18,693",14.2,1,,0,365276,365235,366441,-41,1206,865,3453,1287,4944,-422,-1491,2,78,400,2590,402,2668,0,-21,29,"365,270","181,696",183574,156332,159507,13903,12681,1420,1263,5909,6096,586,513,3546,3514,159658,162782,16150,14973,2361,2183,6499,6643,663,618,165339,168742,142710,147237,13131,11827,479,466,5676,5880,148,158,3195,3174,145710,150209,15177,13901,1278,1262,6228,6386,219,253,16357,14832,13622,12270,772,854,941,797,233,216,438,355,351,340,13948,12573,973,1072,1083,921,271,257,444,365
152,"Hilton Head Island-Bluffton, SC","232,523","215,908",222072,0,,0.08,0,"17,076",10.6,1,882,0,215908,216764,222072,856,5308,524,2146,584,2540,-60,-394,18,133,924,5624,942,5757,0,-26,-55,"215,916","107,476",108440,82097,81151,21045,22829,655,462,1366,1656,145,159,2168,2183,83958,83013,22343,24170,1267,1093,2003,2263,296,288,92265,95339,68821,69764,20045,21951,313,225,1248,1522,65,67,1773,1810,70354,71304,21110,23062,766,720,1782,2036,180,168,15211,13101,13276,11387,1000,878,342,237,118,134,80,92,395,373,13604,11709,1233,1108,501,373,221,227,116,120
153,"Hinesville, GA MSA","88,804",81424,82863,0,,0.06,0,"5,013",16.1,1,,0,81424,81507,82863,83,1356,394,1690,167,564,227,1126,5,-25,-154,262,-149,237,0,5,-7,"81,429","41,647",39782,21497,19500,16986,17007,374,288,669,903,235,235,1886,1849,23136,21081,18266,18310,760,723,1203,1439,386,355,36578,35037,17723,16106,16264,16220,212,182,612,813,185,178,1582,1538,19105,17409,17346,17304,482,507,1086,1277,301,278,5069,4745,3774,3394,722,787,162,106,57,90,50,57,304,311,4031,3672,920,1006,278,216,117,162,85,77
154,"Homosassa Springs, FL MSA","166,696","153,843",158083,0,,0.05,0,"8,400",15,1,373,0,153843,154403,158083,560,3680,260,1038,873,3242,-613,-2204,1,8,1207,5969,1208,5977,0,-35,-93,"153,849","74,998",78851,69543,73180,2562,2417,363,337,1141,1478,36,49,1353,1390,70780,74455,3188,3087,881,860,1445,1773,114,139,70272,74299,65384,69176,2292,2182,283,251,1100,1446,23,39,1190,1205,66472,70280,2833,2750,735,702,1383,1714,91,116,4726,4552,4159,4004,270,235,80,86,41,32,13,10,163,185,4308,4175,355,337,146,158,62,59,23,23
155,"Hot Springs, AR MSA","99,784",100180,100330,0,,0.04,0,"3,858",17,1,520,0,100180,100162,100330,-18,168,252,1030,437,1657,-185,-627,0,29,178,762,178,791,0,-11,4,"100,173","48,495",51678,42093,45005,4282,4465,406,406,336,500,45,34,1333,1268,43362,46216,4940,5085,948,931,557,687,96,85,44876,48284,38878,41935,4159,4328,297,330,324,483,30,32,1188,1176,40015,43057,4765,4917,751,797,514,656,70,77,3619,3394,3215,3070,123,137,109,76,12,17,15,2,145,92,3347,3159,175,168,197,134,43,31,26,8
156,"Houma-Thibodaux, LA","198,672","207,137",206212,0,,0.02,0,"4,655",18.1,1,779,0,207137,206814,206212,-323,-602,582,2391,584,2435,-2,-44,-1,75,-322,-672,-323,-597,1,2,39,"207,142","102,491",104651,77562,78134,16276,17977,4863,4867,1143,1017,89,87,2558,2569,79761,80333,17642,19405,6083,6076,1510,1378,258,226,95262,98947,71568,73501,15898,17625,4389,4467,1049,929,35,57,2323,2368,73561,75512,17163,18968,5470,5558,1375,1262,193,190,7229,5704,5994,4633,378,352,474,400,94,88,54,30,235,201,6200,4821,479,437,613,518,135,116,65,36
157,"Houston-The Woodlands-Sugar Land, TX","7,510,253","7,149,642",7206841,1,,0.24,1,"1,688,354",13.5,1,,0,7122240,7137747,7206841,15507,69094,21982,90385,12428,52856,9554,37529,502,12495,4974,19426,5476,31921,0,477,-356,"7,149,604","3,559,664",3589940,2527466,2475264,626841,696868,37423,34715,292199,306732,4027,4066,71708,72295,2591108,2539129,659186,730182,57897,55653,321258,335477,8061,8339,2195981,2279663,1257936,1257286,590633,659388,8070,8211,284534,298894,1699,1922,53109,53962,1305025,1304771,614789,684613,20789,21532,307846,321973,4425,4955,1363683,1310277,1269530,1217978,36208,37480,29353,26504,7665,7838,2328,2144,18599,18333,1286083,1234358,44397,45569,37108,34121,13412,13504,3636,3384
158,"Huntington-Ashland, WV-KY-OH","368,261","376,155",356581,0,,0.01,0,"4,162",18.6,1,945,0,359862,359100,356581,-762,-2519,875,3611,1393,5428,-518,-1817,4,50,-226,-801,-222,-751,1,-22,49,"376,141","185,497",190644,175496,181667,4985,3796,540,483,1306,1454,51,55,3119,3189,178507,184732,6700,5647,1612,1540,1788,1916,150,155,182877,188449,173385,179894,4806,3683,437,410,1266,1425,34,40,2949,2997,176235,182777,6438,5436,1423,1366,1718,1858,123,128,2620,2195,2111,1773,179,113,103,73,40,29,17,15,170,192,2272,1955,262,211,189,174,70,58,27,27
159,"Huntsville, AL MSA","527,254","491,723",502728,1,324.2,0.05,0,"25,423",11.7,1,,0,491723,494018,502728,2295,8710,1256,5109,1292,5179,-36,-70,1,109,2312,8723,2313,8832,0,18,-52,"491,719","242,967",248752,175920,174634,52819,58443,2011,1979,5442,6647,303,304,6472,6745,181755,180651,55912,61761,4385,4455,7342,8643,561,578,226527,233070,162040,161645,51524,56985,1571,1570,5379,6553,198,197,5815,6120,167310,167113,54311,60002,3613,3757,7143,8393,393,415,16440,15682,13880,12989,1295,1458,440,409,63,94,105,107,657,625,14445,13538,1601,1759,772,698,199,250,168,163
160,"Idaho Falls, ID MSA","168,322","157,429",162786,0,,0.04,0,"6,484",9.68,0,310,0,157429,158258,162786,829,4528,567,2243,348,1322,219,921,0,40,604,3604,604,3644,0,6,-37,"157,430","79,360",78070,75081,73879,599,455,1051,1079,806,896,136,111,1687,1650,76710,75475,999,852,1824,1843,1335,1391,273,246,68753,68192,65676,65264,458,340,491,429,710,808,111,81,1307,1270,66949,66500,790,651,1014,956,1153,1230,222,190,10607,9878,9405,8615,141,115,560,650,96,88,25,30,380,380,9761,8975,209,201,810,887,182,161,51,56
161,"Indianapolis-Carmel-Anderson, IN","2,138,468","2,089,653",2126804,1,,0.08,0,"160,349",11.5,1,,0,2111040,2113700,2126804,2660,13104,6146,25108,5183,20801,963,4307,158,2122,1482,6732,1640,8854,0,57,-57,"2,089,636","1,026,982",1062654,797445,814568,158883,176529,4464,4129,39778,39830,671,668,25741,26930,821498,839714,174927,193446,10175,10292,46503,46761,1600,1600,935796,976691,718538,740530,153406,170813,1901,2028,39041,39199,317,316,22593,23805,739724,762767,167546,185855,6317,6966,45227,45517,1049,1093,91186,85963,78907,74038,5477,5716,2563,2101,737,631,354,352,3148,3125,81774,76947,7381,7591,3858,3326,1276,1244,551,507
162,"Iowa City, IA MSA","180,088","175,419",177239,0,292.5,0.10,1,"17,706",16,1,485,0,175419,175495,177239,76,1744,499,1942,291,1239,208,703,23,588,-163,419,-140,1007,0,8,34,"175,428","87,281",88147,73432,74329,6521,5994,357,298,4795,5286,56,54,2120,2186,75437,76387,7522,7002,824,818,5607,6123,150,133,81242,82459,68080,69318,6255,5778,197,152,4744,5238,45,40,1921,1933,69901,71155,7176,6680,567,539,5521,6020,123,105,6039,5688,5352,5011,266,216,160,146,51,48,11,14,199,253,5536,5232,346,322,257,279,86,103,27,28
163,"Ithaca, NY MSA","103,558",105740,105162,0,,0.13,1,"13,296",17.5,1,127,0,105740,105404,105162,-336,-242,191,661,194,825,-3,-164,0,158,-337,-256,-337,-98,1,4,20,105737,52109,53628,42030,43848,2406,2423,254,269,5482,5103,41,30,1896,1955,43778,45648,3245,3305,592,654,6375,5978,128,117,48674,50021,39407,41066,2093,2112,150,152,5395,5005,15,24,1614,1662,40901,42602,2736,2787,408,448,6246,5842,85,98,3435,3607,2623,2782,313,311,104,117,87,98,26,6,282,293,2877,3046,509,518,184,206,129,136,43,19
164,"Jackson, MI MSA","159,424","160,366",160050,0,,0.02,0,"3,162",12.4,1,814,0,160366,160200,160050,-166,-150,437,1575,477,2025,-40,-450,0,15,-121,254,-121,269,0,-5,31,"160,370","82,261",78109,70785,69292,7894,5169,381,308,683,763,46,47,2472,2530,73156,71708,9610,6952,991,956,986,1051,108,93,79026,75185,68070,66908,7699,4974,296,225,663,736,33,28,2265,2314,70245,69123,9295,6618,827,793,944,1006,89,68,3235,2924,2715,2384,195,195,85,83,20,27,13,19,207,216,2911,2585,315,334,164,163,42,45,19,25
165,"Jackson, MS MSA","610,257","619,968",587202,1,224.8,0.02,0,"13,829",16.7,1,,0,591978,590626,587202,-1352,-3424,1662,7037,1748,6896,-86,141,-4,85,-1266,-3656,-1270,-3571,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"Jackson, TN MSA","181,826","180,504",180799,0,,0.03,0,"5,302",17.6,1,1093,1,180504,180383,180799,-121,416,533,2032,747,2492,-214,-460,0,35,100,816,100,851,0,-7,25,"180,500","86,988",93512,60338,63698,23709,26834,478,338,712,803,33,29,1718,1810,61961,65393,24845,28047,893,772,976,1076,98,114,82754,89595,56887,60477,23405,26526,223,185,666,735,25,21,1548,1651,58345,62027,24451,27649,578,555,907,987,82,98,4234,3917,3451,3221,304,308,255,153,46,68,8,8,170,159,3616,3366,394,398,315,217,69,89,16,16
167,"Jacksonville, FL MSA","1,713,240","1,605,848",1637666,1,389.4,0.10,0,"160,505",12.3,1,7353,1,1605848,1611388,1637666,5540,26278,4336,17934,4139,17313,197,621,82,1042,5247,24815,5329,25857,0,14,-200,"1,605,844","785,760",820084,555476,565890,171019,190502,3720,3601,31652,35772,1001,920,22892,23399,575887,586662,182833,202539,8517,8598,40824,45210,2360,2317,703417,738736,487505,498858,162764,182189,2492,2458,30564,34661,682,632,19410,19938,504713,516423,172471,192116,6332,6507,38841,43218,1842,1839,82343,81348,67971,67032,8255,8313,1228,1143,1088,1111,319,288,3482,3461,71174,70239,10362,10423,2185,2091,1983,1992,518,478
168,"Jacksonville, NC MSA","213,676","204,576",206160,0,258.8,0.04,0,"7,956",12.4,1,,0,204576,204735,206160,159,1425,886,3599,394,1397,492,2202,21,-154,-367,-650,-346,-804,1,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"Janesville-Beloit, WI","164,278","163,687",164381,0,,0.05,0,"8,077",12.2,1,380,0,163687,163643,164381,-44,738,464,1817,468,1866,-4,-49,0,12,-36,752,-36,764,0,-4,23,"163,690","81,306",82384,73010,74261,4456,4233,540,399,949,1241,51,49,2300,2201,75213,76369,5914,5628,1070,941,1409,1662,139,109,73103,74826,65924,67615,4109,3950,226,188,896,1193,29,32,1919,1848,67772,69390,5336,5147,604,581,1302,1563,98,82,8203,7558,7086,6646,347,283,314,211,53,48,22,17,381,353,7441,6979,578,481,466,360,107,99,41,27
170,"Jefferson City, MO MSA","150,733","150,309",150706,0,,0.02,0,"2,961",9.58,0,334,0,150309,150199,150706,-110,507,388,1599,466,1689,-78,-90,1,39,-30,539,-29,578,0,-3,19,"150,316","77,238",73078,67257,65438,7229,4888,400,324,713,830,65,57,1574,1541,68762,66897,8086,5734,916,841,989,1084,132,140,74790,70935,65218,63696,7096,4759,312,250,668,769,57,50,1439,1411,66590,65037,7891,5539,763,707,928,1007,119,124,2448,2143,2039,1742,133,129,88,74,45,61,8,7,135,130,2172,1860,195,195,153,134,61,77,13,16
171,"Johnson City, TN MSA","213,198","207,285",208068,0,288.4,0.03,0,"6,700",16.5,1,668,0,207285,207262,208068,-23,806,397,1770,771,3005,-374,-1235,0,46,364,1983,364,2029,0,-13,12,"207,276","102,116",105160,94606,97846,3838,3413,503,450,1165,1443,64,49,1940,1959,96447,99709,4867,4500,1168,1099,1538,1818,141,112,97719,101145,90860,94474,3656,3210,304,263,1131,1422,40,28,1728,1748,92514,96144,4572,4188,869,810,1463,1762,102,82,4397,4015,3746,3372,182,203,199,187,34,21,24,21,212,211,3933,3565,295,312,299,289,75,56,39,30
172,"Johnstown, PA MSA","130,668","133,472",132167,0,,0.00,0,,14.5,1,,0,133472,132957,132167,-515,-790,305,1154,604,2076,-299,-922,-1,4,-202,112,-203,116,0,-13,16,"133,478","66,480",66998,61831,63064,2949,2276,116,89,332,358,20,48,1232,1163,62995,64159,3852,3151,324,269,529,525,57,88,65136,65877,60840,62191,2758,2179,71,56,319,350,20,48,1128,1053,61908,63180,3594,2979,249,210,499,506,52,83,1344,1121,991,873,191,97,45,33,13,8,0,0,104,110,1087,979,258,172,75,59,30,19,5,5
173,"Jonesboro, AR MSA","136,390","134,196",134878,0,,0.03,0,"4,227",18.2,1,743,0,134196,134469,134878,273,409,428,1633,366,1636,62,-3,0,34,205,357,205,391,0,6,21,"134,207","65,369",68838,53050,55134,9807,11203,322,398,834,758,28,48,1328,1297,54311,56365,10608,11969,717,780,1053,968,60,96,61489,65225,49614,52001,9641,11004,202,237,808,741,15,38,1209,1204,50766,53141,10379,11734,545,579,1006,931,40,78,3880,3613,3436,3133,166,199,120,161,26,17,13,10,119,93,3545,3224,229,235,172,201,47,37,20,18
174,"Joplin, MO-KS MSA","204,787","200,771",182541,0,,0.04,0,"7,158",16.4,1,593,0,181409,181379,182541,-30,1162,516,2151,567,2201,-51,-50,-3,93,27,1096,24,1189,0,-3,23,"200,784","99,315",101469,89253,91812,2054,1639,2442,2449,1217,1340,824,722,3525,3507,92655,95193,3250,2861,4440,4418,1673,1808,947,852,91276,94066,82575,85652,1775,1396,2031,2045,1130,1287,614,499,3151,3187,85627,88726,2854,2518,3790,3813,1543,1712,718,615,8039,7403,6678,6160,279,243,411,404,87,53,210,223,374,320,7028,6467,396,343,650,605,130,96,229,237
175,"Kahului-Wailuku-Lahaina, HI","164,264","164,836",164221,0,,0.17,1,"28,369",13.8,1,449,0,164754,164655,164221,-99,-434,427,1766,431,1628,-4,138,5,157,-91,-749,-86,-592,1,-9,20,"164,836","82,296",82540,28746,27965,742,555,460,431,22673,25184,9086,8517,20589,19888,43388,42152,1656,1369,2248,2187,39098,41096,24073,23077,73782,74020,25377,24551,682,475,238,216,21899,24395,8428,7907,17158,16476,37528,36274,1379,1074,1500,1445,35611,37598,20857,19943,8514,8520,3369,3414,60,80,222,215,774,789,658,610,3431,3412,5860,5878,277,295,748,742,3487,3498,3216,3134
176,"Kalamazoo-Portage, MI","262,215","261,670",261108,0,,0.06,0,"14,683",14.4,1,1523,1,261670,261629,261108,-41,-521,746,2901,699,2650,47,251,6,161,-96,-973,-90,-812,1,2,40,"261,677","128,472",133205,104234,107683,15047,15881,699,692,3618,3805,90,81,4784,5063,108722,112417,18192,19272,1927,2081,4639,4816,236,209,121148,125810,98483,101716,14379,15266,487,482,3528,3731,58,58,4213,4557,102447,105979,17163,18331,1496,1665,4465,4676,180,165,7324,7395,5751,5967,668,615,212,210,90,74,32,23,571,506,6275,6438,1029,941,431,416,174,140,56,44
177,"Kankakee, IL MSA","105,940",107502,106601,0,192.2,0.05,0,"5,478",13,1,424,0,107502,107236,106601,-266,-635,291,1207,330,1366,-39,-159,0,24,-228,-515,-228,-491,1,1,15,"107,510","53,332",54178,43353,43848,7947,8387,248,237,549,581,29,23,1206,1102,44503,44880,8734,9129,509,484,764,768,68,55,46800,48210,37445,38471,7721,8165,76,92,513,547,22,15,1023,920,38421,39331,8404,8791,273,284,705,713,54,43,6532,5968,5908,5377,226,222,172,145,36,34,7,8,183,182,6082,5549,330,338,236,200,59,55,14,12
178,"Kansas City, MO-KS MSA","2,221,343","2,192,035",2199490,1,320.1,0.07,0,"150,518",9.88,0,,0,2192035,2193578,2199490,1543,5912,6423,25348,5479,21689,944,3659,26,1168,561,748,587,1916,0,12,337,"2,192,065","1,083,528",1108537,872314,885870,134672,145037,7529,7091,33892,34860,2619,2568,32502,33111,902185,916129,152136,162976,17914,17919,42326,43361,4266,4287,966165,996963,769202,787928,129367,139651,4257,4284,33081,34084,2151,2096,28107,28920,795178,814472,144491,155405,12556,13103,40693,41737,3502,3484,117363,111574,103112,97942,5305,5386,3272,2807,811,776,468,472,4395,4191,107007,101657,7645,7571,5358,4816,1633,1624,764,803
179,"Kennewick-Richland, WA","314,253","303,622",308293,0,,0.15,1,"45,451",11.5,1,660,0,303622,304306,308293,684,3987,965,3928,682,2504,283,1424,13,231,376,2300,389,2531,0,12,32,"303,616","154,108",149508,138267,134356,3638,2766,2393,2326,4502,4838,554,465,4754,4757,142690,138830,5266,4366,4137,4112,6141,6420,916,844,102245,99671,90549,88542,2831,1975,962,931,4114,4437,293,269,3496,3517,93827,91875,4031,3164,2070,2097,5445,5709,553,534,51863,49837,47718,45814,807,791,1431,1395,388,401,261,196,1258,1240,48863,46955,1235,1202,2067,2015,696,711,363,310
180,"Kenosha, WI MSA","167,488","169,151",,,,0.00,0,,12.5,1,,0,,,,,,,,,,,,,,,,,,0,,,"169,150","83,949",85201,73264,73797,6163,6429,644,701,1401,1703,83,86,2394,2485,75495,76130,7591,7922,1285,1378,1971,2277,195,188,71649,73034,62464,63181,5661,5909,248,268,1302,1604,37,45,1937,2027,64274,65093,6824,7138,687,756,1802,2115,130,125,12300,12167,10800,10616,502,520,396,433,99,99,46,41,457,458,11221,11037,767,784,598,622,169,162,65,63
181,"Killeen-Temple, TX","501,333","475,367",486101,0,,0.08,0,"36,581",13.7,1,1202,1,475367,476784,486101,1417,9317,1670,7008,935,3826,735,3182,21,47,626,6065,647,6112,0,35,23,"475,371","237,258",238113,161685,159585,53820,54342,2748,2573,5932,8254,2083,2057,10990,11302,171215,169260,60370,61142,5111,5013,9683,12072,2995,3089,179396,181824,113774,113311,49047,49270,1195,1142,5221,7586,1699,1721,8460,8794,121076,120788,54160,54653,2721,2764,8303,10745,2377,2502,57862,56289,47911,46274,4773,5072,1553,1431,711,668,384,336,2530,2508,50139,48472,6210,6489,2390,2249,1380,1327,618,587
